Rk,Unnamed: 1,Salary
1,Ja Morant,"$39,446,090"
2,Jaren Jackson Jr.,"$35,000,000"
3,Kentavious Caldwell-Pope,"$21,621,500"
4,Santi Aldama,"$18,485,916"
5,Cole Anthony,"$13,100,000"
6,Brandon Clarke,"$12,500,000"
7,Ty Jerome,"$8,781,000"
8,John Konchar,"$6,165,000"
9,Zach Edey,"$6,045,000"
10,Cedric Coward,"$5,715,120"
11,Cam Spencer,"$2,537,989"
12,Vince Williams Jr.,"$2,301,587"
13,Jock Landale,"$2,296,274"
14,Scotty Pippen Jr.,"$2,270,735"
15,GG Jackson II,"$2,221,677"
16,Jaylen Wells,"$1,955,377"
17,Mamadi Diakite,"$464,050"
18,Charles Bassey,"$131,970"
