Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Draft,Draft,Draft,Draft,Unnamed: 7_level_0,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats
Unnamed: 0_level_1,Age,Unnamed: 2_level_1,Yr,Tm,Rd,Pk,Unnamed: 7_level_1,Team,Lg,Unnamed: 10_level_1,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Nemanja Dangubić,32,,2014,PHI,2,54,,Dubai,,ae,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.
Nemanja Dangubić,32,,2014,PHI,2,54,,,ELG,ae,6,7.2,0.5,1.5,.333,0.2,0.3,.500,0.2,0.5,.333,1.2,0.3,1.5,0.0,0.0,0.0,0.3,1.7,1.3
Justinian Jessup,27,,2020,GSW,2,51,,,ELG,de,16,15.6,1.8,4.1,.424,0.8,2.5,.300,0.8,0.8,1.000,0.6,1.9,2.5,1.2,0.5,0.3,0.4,1.6,5.0
