Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1,Shai Gilgeous-Alexander,26,23,23,851,13.3,28.7,0.462,1.8,6.4,0.283,11.5,22.3,0.514,0.494,10.8,12.4,0.876,1.3,5.7,7.0,8.6,2.2,1.1,3.4,3.7,39.2,120,108,Finals MVP-1
2,Jalen Williams,23,23,23,796,10.8,24.1,0.449,2.1,7.0,0.304,8.7,17.1,0.509,0.494,6.2,7.8,0.789,1.5,6.3,7.7,6.8,2.0,0.5,2.5,3.0,30.0,115,109,
3,Chet Holmgren,22,23,23,686,8.7,18.8,0.462,1.9,6.4,0.297,6.8,12.4,0.549,0.513,5.4,6.9,0.784,3.0,11.1,14.1,1.6,1.2,3.0,2.0,3.3,24.7,115,104,
4,Luguentz Dort,25,23,23,666,4.4,11.9,0.366,3.5,10.2,0.343,0.9,1.7,0.5,0.512,1.0,1.6,0.636,2.3,4.2,6.5,1.5,2.1,0.7,1.5,5.6,13.3,108,110,
5,Alex Caruso,30,23,0,562,6.2,13.8,0.45,3.2,7.8,0.411,3.0,6.0,0.5,0.566,2.7,3.4,0.795,1.5,3.9,5.4,4.4,3.9,1.1,1.6,5.4,18.3,123,105,
6,Isaiah Hartenstein,26,23,20,516,7.8,12.6,0.619,0.0,0.0,,7.8,12.6,0.619,0.619,1.9,2.8,0.667,5.9,10.3,16.3,4.8,1.8,1.1,2.5,5.4,17.5,128,105,
7,Cason Wallace,21,23,3,516,4.8,11.2,0.429,1.9,5.8,0.323,2.9,5.4,0.544,0.513,0.6,0.8,0.667,2.2,3.6,5.7,4.5,3.0,0.9,1.5,4.8,12.0,114,108,
8,Aaron Wiggins,26,22,0,303,7.5,19.1,0.395,4.0,11.0,0.362,3.5,8.0,0.44,0.5,2.1,2.7,0.765,2.2,5.8,8.0,3.2,1.6,1.0,2.7,3.7,21.1,104,109,
9,Isaiah Joe,25,21,0,211,8.3,16.8,0.493,5.3,12.9,0.411,3.0,3.9,0.765,0.651,2.8,3.2,0.857,1.6,5.1,6.7,3.2,1.6,0.5,1.6,3.0,24.6,132,110,
10,Jaylin Williams,22,17,0,141,5.2,12.0,0.429,3.1,8.6,0.36,2.1,3.4,0.6,0.557,2.1,3.8,0.545,1.4,9.6,11.0,5.8,2.8,0.7,4.1,10.7,15.5,102,104,
11,Kenrich Williams,30,16,0,137,5.7,14.2,0.4,1.4,7.1,0.2,4.2,7.1,0.6,0.45,1.1,2.1,0.5,2.8,9.6,12.4,2.5,2.5,0.4,2.5,2.1,13.8,95,105,
12,Ajay Mitchell,22,12,0,84,9.2,20.2,0.457,2.9,7.5,0.385,6.4,12.7,0.5,0.529,2.3,2.9,0.8,1.7,3.5,5.2,5.2,1.2,0.0,3.5,4.0,23.7,107,113,
13,Dillon Jones,23,10,0,46,9.5,11.6,0.818,3.2,4.2,0.75,6.3,7.4,0.857,0.955,2.1,2.1,1.0,3.2,6.3,9.5,5.3,1.1,1.1,6.3,4.2,24.3,128,110,
14,Ousmane Dieng,21,9,0,32,6.1,15.2,0.4,6.1,10.6,0.571,0.0,4.5,0.0,0.6,3.0,3.0,1.0,0.0,6.1,6.1,4.5,0.0,1.5,0.0,0.0,21.2,144,112,
