Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1.0,Shai Gilgeous-Alexander,26.0,PG,23,23,851,25.3,0.574,0.224,0.431,2.9,12.9,7.9,30.6,2.2,2.4,9.1,32.9,2.6,1.4,3.9,0.222,5.7,2.6,8.3,2.2,Finals MVP-1
2.0,Jalen Williams,23.0,SG,23,23,796,19.1,0.544,0.29,0.323,3.2,14.2,8.7,22.3,2.0,1.1,8.3,26.3,1.3,1.2,2.5,0.153,2.5,1.7,4.2,1.2,
3.0,Chet Holmgren,22.0,C,23,23,686,18.1,0.565,0.342,0.365,6.6,25.1,15.8,4.8,1.2,6.3,8.3,20.8,0.9,1.4,2.3,0.161,0.9,1.5,2.4,0.8,
4.0,Luguentz Dort,25.0,SF,23,23,666,8.1,0.524,0.854,0.134,5.2,9.4,7.3,4.0,2.1,1.5,10.3,12.3,0.2,1.0,1.1,0.081,-2.3,1.4,-0.9,0.2,
5.0,Alex Caruso,30.0,SG,23,0,562,15.1,0.598,0.563,0.244,3.3,8.8,6.0,12.6,3.9,2.3,9.7,14.8,0.9,1.1,2.0,0.169,0.4,4.7,5.0,1.0,
6.0,Isaiah Hartenstein,26.0,C,23,20,516,18.3,0.632,0.0,0.224,13.2,23.4,18.2,14.3,1.8,2.3,15.5,14.3,1.1,1.0,2.1,0.199,0.9,2.6,3.5,0.7,
7.0,Cason Wallace,21.0,SG,23,3,516,10.8,0.52,0.521,0.076,4.8,8.1,6.4,12.4,3.0,1.9,11.5,11.4,0.3,0.8,1.2,0.111,-1.7,3.7,2.0,0.5,
8.0,Aaron Wiggins,26.0,SG,22,0,303,11.8,0.522,0.58,0.143,5.0,13.0,9.0,9.5,1.6,2.0,11.8,20.1,0.0,0.4,0.4,0.071,-0.5,0.6,0.1,0.2,
9.0,Isaiah Joe,25.0,SG,21,0,211,17.4,0.676,0.767,0.192,3.6,11.4,7.5,9.8,1.6,0.9,8.1,17.3,0.6,0.3,0.8,0.192,3.5,2.1,5.6,0.4,
10.0,Jaylin Williams,22.0,PF,17,0,141,9.7,0.565,0.714,0.314,3.1,21.8,12.3,16.2,2.8,1.4,23.1,15.6,0.0,0.3,0.3,0.091,-4.0,4.4,0.4,0.1,
11.0,Kenrich Williams,30.0,PF,16,0,137,9.9,0.457,0.5,0.15,6.3,21.6,13.9,7.0,2.5,0.7,14.1,15.4,-0.1,0.3,0.1,0.052,-2.6,0.8,-1.8,0.0,
12.0,Ajay Mitchell,22.0,SG,12,0,84,12.2,0.551,0.371,0.143,3.8,7.8,5.8,16.2,1.2,0.0,13.9,21.8,0.0,0.1,0.1,0.067,-1.3,-0.1,-1.4,0.0,
13.0,Dillon Jones,23.0,SF,10,0,46,19.2,0.968,0.364,0.182,7.0,14.3,10.6,16.6,1.1,2.2,33.6,16.5,0.1,0.1,0.2,0.179,3.4,4.0,7.5,0.1,
14.0,Ousmane Dieng,21.0,C,9,0,32,16.2,0.643,0.7,0.2,0.0,13.7,6.8,12.9,0.0,3.1,0.0,14.4,0.1,0.0,0.1,0.202,4.9,1.3,6.3,0.1,
,Team Totals,,,23,23,5547,,0.566,0.39,0.29,,,,,,,,,8.0,9.4,17.4,0.15,1.0,2.3,3.4,7.5,
