Player,Team,Update,Description
Drew Eubanks,Sacramento Kings,"Wed, Dec 17, 2025",Out (Thumb) - The Kings listed Eubanks as Out on Thursday's (Dec. 18) game against the Timberwolves.
Zach LaVine,Sacramento Kings,"Tue, Dec 16, 2025","Out (Ankle) - The Kings announced on Tuesday (Dec. 16) that LaVine will be re-evaluated in one week, as reported by Jason Anderson of The Sacramento Bee."
Domantas Sabonis,Sacramento Kings,"Thu, Nov 20, 2025","Out (Knee) - Sacramento Kings star center Domantas Sabonis has suffered a partially torn meniscus in his left knee and will be re-evaluated in 3-to-4 weeks, per Shams Charania of ESPN."
Dennis Schröder,Sacramento Kings,"Wed, Dec 17, 2025",Day To Day (Ankle) - The Kings listed Schroder as Questionable on Thursday's (Dec. 18) game against the Trail Blazers.
